article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
CL-0088,market,"LG CNS, 美 제조 현장에 AI 꽂는다…61억 달러 시장 정조준 - 지디넷코리아",2026-05-20,"LG CNS, 美 제조 현장에 AI 꽂는다…61억 달러 시장 정조준 지디넷코리아","LG CNS, 美 제조 현장에 AI 꽂는다…61억 달러 시장 정조준 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTE1vaVh0ZVBwajhVcjFmVTBjQk50NEJvcGJmQndRRW8zUjZGc0owdXVPdHZrNVNEYktoM0VMX1NULUw1X3JwcXBNY3ZUQW1HdmNsOGVnaXBn?oc=5,지디넷코리아,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0089,market,"충남-중국 광둥, AI·첨단제조 미래산업 협력으로 새로운 10년 연다 - webeconomy.co.kr",2026-09-17,"충남-중국 광둥, AI·첨단제조 미래산업 협력으로 새로운 10년 연다 webeconomy.co.kr","충남-중국 광둥, AI·첨단제조 미래산업 협력으로 새로운 10년 연다 webeconomy.co.kr",https://news.google.com/rss/articles/CBMickFVX3lxTE05cVZxYVJ0bnpJR2R1UDNVUFZHcV9weEdsWWtzczIwalZNTk1Od19NNm9qYUM3RWg0VFRadllyNl90RkpFNFJYZUwyNXpnMThHUnpnSXhuMXZKR0VpbzFwalpWM0dVTndTRlpoZG05ODF1Zw?oc=5,webeconomy.co.kr,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0090,market,"로봇이 부품 찾고 작업도 학습…현대모비스, AI 제조기술 40종 공개 - v.daum.net",2026-08-27,"로봇이 부품 찾고 작업도 학습…현대모비스, AI 제조기술 40종 공개 v.daum.net","로봇이 부품 찾고 작업도 학습…현대모비스, AI 제조기술 40종 공개 v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE0yU0FYeDRYSEI3Ynl3R09QTjVwNUV3R0ttekhRQ2pZbTVHcXJUSFAtSXRHVUNxWkpNTFE3N2NxWlBoVjJaSkE?oc=5,v.daum.net,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0091,market,"두산에너빌리티, AI·로봇 기반 스마트팩토리 구축...SMR·가스터빈 생산 혁신 가속 - 테크데일리",2026-07-15,"두산에너빌리티, AI·로봇 기반 스마트팩토리 구축...SMR·가스터빈 생산 혁신 가속 테크데일리","두산에너빌리티, AI·로봇 기반 스마트팩토리 구축...SMR·가스터빈 생산 혁신 가속 테크데일리",https://news.google.com/rss/articles/CBMibkFVX3lxTE42MEJpUEUtQ1BvdEhlOUowXzdUV3NqcGtUek54SWZtRDctNUZHNXMtRnlSeEpla3hQb25seGpsblZ1b3BNUDgzbnoyZU81MV9jem1FYnVmVFJjTVZHOVA4b1FzOXFmdUZDUFlFV3pB0gFyQVVfeXFMUDM2R1B0aERwRHpwMTZ3UUpodzd5RTNibWtCdWpJOTU3X2FXWFp6WTBOQnBja0JxdS1TVlp4R3FtV2xTaEtTSEpFLWh6M3dKeDlBd0Roa1ExMzBndXJDeVgyRk1NLTNWMzgwQXFCVU5rcEtB?oc=5,테크데일리,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0092,market,"현대모비스, AI·로봇 제조기술 40여종 공개…협력사와 스마트팩토리 확대 - 지피코리아",2026-08-28,"현대모비스, AI·로봇 제조기술 40여종 공개…협력사와 스마트팩토리 확대 지피코리아","현대모비스, AI·로봇 제조기술 40여종 공개…협력사와 스마트팩토리 확대 지피코리아",https://news.google.com/rss/articles/CBMiakFVX3lxTE5Cd25ELUhFbjRwcjQ2Sk04R3hsYmphTzhXZHhCUkRYTTBvZGVKeU5ibV8zbmJRdk5UUTl0NTVORGI4QnFESjN0NVp0X1R5WlNjc245NUdRQW5mRXZ3TE5UUXBwSWRaaTc1eVHSAW5BVV95cUxOdnRmUEZ2WHJ1eWt5Nm5VMzhGM2Z5MXJsenVRTDhibWFQUllzT0I1SWdHVDAyWUhxSGYyZ2tJUkowbElVZmotSkJ3MmFZS3NmdHQ0dDVXeHMySkl3U18zdFlYMEpUWFByZzdVYS1nQQ?oc=5,지피코리아,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0093,market,"순천향대 스마트제조공학과, AI 기반 스마트팩토리 세미나 개최 - 테크월드",2026-06-02,"순천향대 스마트제조공학과, AI 기반 스마트팩토리 세미나 개최 테크월드","순천향대 스마트제조공학과, AI 기반 스마트팩토리 세미나 개최 테크월드",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1OUXlySFFHOVNjVExHdnV2dEkyTHNFdFJiSXlLWUppS0pvNzhUVnBwX3YwaEk0NHpvbHRFZWZKckUyNG1SUldCV2lYYTRwX0pEdFJKMGtOTU5IZ010QUJVTWN3TE1GYnYz?oc=5,테크월드,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0094,market,한 명이 4개 라인 관리…'AI스마트공장' 효과 - news.knn.co.kr,2026-06-16,한 명이 4개 라인 관리…'AI스마트공장' 효과 news.knn.co.kr,한 명이 4개 라인 관리…'AI스마트공장' 효과 news.knn.co.kr,https://news.google.com/rss/articles/CBMiVEFVX3lxTE4wSXpJNkNqd1hrcS1IbGRkdXZfRVJPdXJsaVVBdEdwakdvb2o2SzBhY3VvcGpLV2F0WGRtM1dWeE14eWFSTWRYV0NQcWl1RU4wZU1DWg?oc=5,news.knn.co.kr,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0095,market,"LG CNS, 북미 제조 AX 시장 공략 본격화…AI 스마트팩토리 ‘팩토바’ 전면에 - 테크월드",2026-05-20,"LG CNS, 북미 제조 AX 시장 공략 본격화…AI 스마트팩토리 ‘팩토바’ 전면에 테크월드","LG CNS, 북미 제조 AX 시장 공략 본격화…AI 스마트팩토리 ‘팩토바’ 전면에 테크월드",https://news.google.com/rss/articles/CBMiaEFVX3lxTFBrWmRYcGZGTFVIbmtVUVJKdXVtcXBPa2RDZmVPNjhuOVc3RnNsU21GbkZnQzAyRk1tUmt3QUR4RUVpdGRhVEhIMDVKT3VLdlJLdXNtbmJUamxGd2M2bnExd29yVE04dFZ6?oc=5,테크월드,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0096,market,"AI가 이끄는 제조업의 대전환, 청사진 나왔다....정부, 2030년까지 민·관 합동 20조원 투자 - 인공지능신문",2026-06-29,"AI가 이끄는 제조업의 대전환, 청사진 나왔다....정부, 2030년까지 민·관 합동 20조원 투자 인공지능신문","AI가 이끄는 제조업의 대전환, 청사진 나왔다....정부, 2030년까지 민·관 합동 20조원 투자 인공지능신문",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1TY0NVei1KcmtKNXdZaVdYeF9BNzlUQi1mRElSNk1rNVFfa3ctUG9nMVNzSnpYWEtVcTh1SnpJSEUyVkl2bWNFT1hiNGZ3b3FVVWdnbUNqclhKVG9OMnhzdHNBNmNiUG8?oc=5,인공지능신문,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
CL-0097,market,"현대모비스, 협력사와 AI·로봇 제조혁신 확대…스마트 제조 생태계 구축 - 신아일보",2026-08-27,"현대모비스, 협력사와 AI·로봇 제조혁신 확대…스마트 제조 생태계 구축 신아일보","현대모비스, 협력사와 AI·로봇 제조혁신 확대…스마트 제조 생태계 구축 신아일보",https://news.google.com/rss/articles/CBMicEFVX3lxTE5OZ0YzSHU1NWl1WVVhRGZVaWN0aldfUTlEcFVYS0QwWi1mQ0tuNnlIcnFEeWpWdl90TlFFczFSQjltZmh3ZzVqZzdIdGlNVTNnMHNCcVBxMGl0WVV6ZFRmampNSXBmTDRKMGlUWGd5Qlg?oc=5,신아일보,,스마트팩토리|AI|제조,2026-09-20T03:59:47.201522+00:00,False,False,live_crawl
